sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttbbDL,Weight_pdf_variation_320977,0.998919446,0.999895819,-1,-1,-1,-1,0.998919446
ttbbDL,Weight_pdf_variation_320978,1.010888632,1.010534644,-1,-1,-1,-1,1.010888632
ttbbDL,Weight_pdf_variation_320979,1.007523667,1.007667626,-1,-1,-1,-1,1.007523667
ttbbDL,Weight_pdf_variation_320980,0.971142357,0.972883145,-1,-1,-1,-1,0.971142357
ttbbDL,Weight_pdf_variation_320981,0.995376118,0.9963214,-1,-1,-1,-1,0.995376118
ttbbDL,Weight_pdf_variation_320982,1.002016699,1.000793155,-1,-1,-1,-1,1.002016699
ttbbDL,Weight_pdf_variation_320983,0.991692898,0.992364723,-1,-1,-1,-1,0.991692898
ttbbDL,Weight_pdf_variation_320984,1.010279085,1.009868468,-1,-1,-1,-1,1.010279085
ttbbDL,Weight_pdf_variation_320985,1.001894549,1.000612732,-1,-1,-1,-1,1.001894549
ttbbDL,Weight_pdf_variation_320986,0.975050062,0.976260367,-1,-1,-1,-1,0.975050062
ttbbDL,Weight_pdf_variation_320987,1.00172925,1.00035514,-1,-1,-1,-1,1.00172925
ttbbDL,Weight_pdf_variation_320988,0.979049383,0.979592786,-1,-1,-1,-1,0.979049383
ttbbDL,Weight_pdf_variation_320989,0.97625409,0.975156897,-1,-1,-1,-1,0.97625409
ttbbDL,Weight_pdf_variation_320990,0.986583251,0.987495521,-1,-1,-1,-1,0.986583251
ttbbDL,Weight_pdf_variation_320991,1.003595816,1.003438662,-1,-1,-1,-1,1.003595816
ttbbDL,Weight_pdf_variation_320992,0.994311276,0.994246367,-1,-1,-1,-1,0.994311276
ttbbDL,Weight_pdf_variation_320993,0.999438763,0.998091388,-1,-1,-1,-1,0.999438763
ttbbDL,Weight_pdf_variation_320994,0.998100012,0.999670744,-1,-1,-1,-1,0.998100012
ttbbDL,Weight_pdf_variation_320995,0.996021486,0.996546503,-1,-1,-1,-1,0.996021486
ttbbDL,Weight_pdf_variation_320996,1.011424877,1.011292696,-1,-1,-1,-1,1.011424877
ttbbDL,Weight_pdf_variation_320997,0.965126633,0.965467033,-1,-1,-1,-1,0.965126633
